ClipID,YouTubeID,CropSize,StartTime,EndTime
1_0000/shot_0070,dfo_rMmdi0A,640:256:0:52,00:03:53.458,00:04:09.125
1_0000/shot_0099,dfo_rMmdi0A,640:256:0:52,00:06:45.417,00:06:56.750
1_0000/shot_0134,dfo_rMmdi0A,640:256:0:52,00:09:36.417,00:09:52.625
1_0000/shot_0152,dfo_rMmdi0A,640:256:0:52,00:12:16.292,00:12:27.542
1_0000/shot_0173,dfo_rMmdi0A,640:256:0:52,00:13:47.833,00:13:58.083
1_0000/shot_0258,dfo_rMmdi0A,640:256:0:52,00:17:39.708,00:17:54.875
1_0000/shot_0366,dfo_rMmdi0A,640:256:0:52,00:26:41.833,00:26:56.208
1_0000/shot_0416,dfo_rMmdi0A,640:256:0:52,00:30:22.167,00:30:39.000
1_0000/shot_0425,dfo_rMmdi0A,640:256:0:52,00:31:28.417,00:31:42.667
1_0000/shot_0427,dfo_rMmdi0A,640:256:0:52,00:31:49.333,00:32:00.042
1_0000/shot_0450,dfo_rMmdi0A,640:256:0:52,00:33:51.875,00:34:06.375
1_0000/shot_0451,dfo_rMmdi0A,640:256:0:52,00:34:06.375,00:34:16.833
1_0000/shot_0535,dfo_rMmdi0A,640:256:0:52,00:39:42.375,00:39:55.333
1_0000/shot_0603,dfo_rMmdi0A,640:256:0:52,00:44:09.875,00:44:24.958
1_0000/shot_0632,dfo_rMmdi0A,640:256:0:52,00:45:36.958,00:45:52.750
1_0000/shot_0638,dfo_rMmdi0A,640:256:0:52,00:46:37.000,00:46:50.458
1_0000/shot_0641,dfo_rMmdi0A,640:256:0:52,00:46:56.042,00:47:10.125
1_0000/shot_0646,dfo_rMmdi0A,640:256:0:52,00:47:26.167,00:47:36.375
1_0000/shot_0673,dfo_rMmdi0A,640:256:0:52,00:49:35.750,00:49:47.417
1_0000/shot_0699,dfo_rMmdi0A,640:256:0:52,00:51:08.625,00:51:24.167
1_0000/shot_0711,dfo_rMmdi0A,640:256:0:52,00:52:03.625,00:52:16.292
1_0000/shot_0739,dfo_rMmdi0A,640:256:0:52,00:54:19.875,00:54:37.542
1_0000/shot_0740,dfo_rMmdi0A,640:256:0:52,00:54:37.542,00:54:50.167
1_0000/shot_0741,dfo_rMmdi0A,640:256:0:52,00:54:50.167,00:55:06.750
1_0000/shot_0750,dfo_rMmdi0A,640:256:0:52,00:56:03.458,00:56:13.875
1_0000/shot_0780,dfo_rMmdi0A,640:256:0:52,00:58:37.625,00:58:48.375
1_0000/shot_0783,dfo_rMmdi0A,640:256:0:52,00:58:58.083,00:59:08.500
1_0000/shot_0863,dfo_rMmdi0A,640:256:0:52,01:03:52.542,01:04:03.250
